BEO,AUSTRALIA,BELMONT
BEP,INDIA,BELLARY
BEQ,UNITED KINGDOM,HONINGTON
BER,GERMANY,BERLIN METROPOLITAN AREA
BES,FRANCE,BREST LESQUIN
BET,UNITED STATES,BETHEL AIRPORT
BEU,AUSTRALIA,BEDOURIE
BEV,ISRAEL,BEER SHEBA
BEW,MOZAMBIQUE,BEIRA
BEX,UNITED KINGDOM,RAF STATION
BEY,LEBANON,BEIRUT RAFIC HARIRI AIRPORT
BEZ,KIRIBATI,BERU
BFA,PARAGUAY,BAHIA NEGRA
BFB,UNITED STATES,BLUE FOX BAY
BFC,AUSTRALIA,BLOOMFIELD
BFD,UNITED STATES,BRADFORD
BFE,GERMANY,BIELEFELD
BFF,UNITED STATES,SCOTTS BLUFF COUNTY
BFG,UNITED STATES,BULLFROG BASIN
BFH,BRAZIL,BACACHERI
BFI,UNITED STATES,BOEING FIELD/KING COUNTY INTERNATIONAL A
BFJ,FIJI,BA
BFK,UNITED STATES,BUFFALO MUNICIPAL AIRPORT
BFL,UNITED STATES,MEADOWS FIELD
BFM,UNITED STATES,MOB AEROSPACE
BFO,ZIMBABWE,BUFFALO RANGE
BFP,UNITED STATES,BEAVER FALLS
BFQ,PANAMA,BAHIA PINAS
BFR,UNITED STATES,VIRGIL I GRISSOM MUNI
BFS,UNITED KINGDOM,ALDERGROVE INTERNATIONAL AIRPORT
BFT,UNITED STATES,COUNTY
BFU,CHINA,BENGBU
BFV,THAILAND,BURI RAM
BFW,ALGERIA,SIDI BELABBES
BFX,CAMEROON,BAFOUSSAM
BGA,COLOMBIA,PALO NEGRO
BGB,GABON,BOOUE
BGC,PORTUGAL,BRAGANCA
BGD,UNITED STATES,BORGER
BGE,UNITED STATES,DECATUR COUNTY
BGF,CENTRAL AFRICAN REPUBLIC,BANGUI
BGG,COTE D'IVOIRE (IVORY COAST),BONGOUANOU
BGH,MAURITANIA,ABBAYE
BGI,BARBADOS,GRANTLEY ADAMS INTERNATIONAL
BGJ,ICELAND,BORGARFJORDUR EYSTRI
BGK,BELIZE,BIG CREEK
BGL,NEPAL,BAGLUNG
BGM,UNITED STATES,GREATER BINGHAMTON
BGN,GERMANY,R.A.F.
BGO,NORWAY,"BERGEN AIRPORT, FLESLAND"
BGP,GABON,BONGO
BGQ,UNITED STATES,BIG LAKE
BGR,UNITED STATES,BANGOR INTERNATIONAL AIRPORT
BGS,UNITED STATES,WEBB AFB
BGT,UNITED STATES,BAGDAD
BGU,CENTRAL AFRICAN REPUBLIC,BANGASSOU
BGV,BRAZIL,BENTO GONCALVES
BGW,IRAQ,AL RASHEED
BGX,BRAZIL,AIRPORT CMDT. GUSTAVO KRAEMER
BGY,ITALY,ORIO AL SERIO
BGZ,PORTUGAL,BRAGA
BHA,ECUADOR,BAHIA DE CARAQUEZ
BHB,UNITED STATES,BAR HARBOR
BHC,UNITED STATES,BHURBAN HELIPORT
BHD,UNITED KINGDOM,GEORGE BEST BELFAST CITY
BHE,NEW ZEALAND,WOODBOURNE AIR STATION
BHF,COLOMBIA,BAHIA CUPICA
BHG,HONDURAS,BRUS LAGUNA
BHH,SAUDI ARABIA,BISHA
BHI,ARGENTINA,COMANDANTE
BHJ,INDIA,RUDRA MATA
BHK,UZBEKISTAN,BUKHARA
BHL,MEXICO,BAHIA ANGELES
BHM,UNITED STATES,BIRMINGHAM
BHN,YEMEN,BEIHAN
BHO,INDIA,BHOPAL
BHP,NEPAL,BHOJPUR
BHQ,AUSTRALIA,BROKEN HILL
BHR,NEPAL,BHARATPUR AIRPORT
BHS,AUSTRALIA,RAGLAN
BHT,AUSTRALIA,BRIGHTON DOWNS
BHU,INDIA,BHAVNAGAR
BHV,PAKISTAN,BAHAWALPUR
BHW,PAKISTAN,BHAGATANWALA APT
BHX,UNITED KINGDOM,BIRMINGHAM INTERNATIONAL AIRPORT
BHY,CHINA,BEIHAI
BIA,FRANCE,PORETTA
BIB,SOMALIA,BAIDOA
BIC,UNITED STATES,BIG CREEK
BID,UNITED STATES,BLOCK ISLAND
BIE,UNITED STATES,BEATRICE
BIF,UNITED STATES,BIGGS AAF
BIG,UNITED STATES,INTERMEDIATE FIELD
BIH,UNITED STATES,BISHOP
BII,MARSHALL ISLANDS,ENYU AIRFIELD
BIJ,PAPUA NEW GUINEA,BILIAU
BIK,INDONESIA,FRANS KAISEPO
BIL,UNITED STATES,BILLINGS
BIM,BAHAMAS,INTERNATIONAL
BIN,AFGHANISTAN,BAMIYAN
BIO,SPAIN,SONDICA
BIP,AUSTRALIA,BULIMBA
BIQ,FRANCE,BIARRITZ PARME
BIR,NEPAL,BIRATNAGAR
BIS,UNITED STATES,BISMARCK
BIT,NEPAL,BAITADI
BIU,ICELAND,BILDUDALUR
BIV,CENTRAL AFRICAN REPUBLIC,BRIA
BIW,AUSTRALIA,BILLILUNA
BIX,UNITED STATES,KEESLER AFB
BIY,SOUTH AFRICA,BISHO
BIZ,PAPUA NEW GUINEA,BIMIN
BJA,ALGERIA,BEJAIA
BJB,IRAN,BOJNORD
BJC,UNITED STATES,JEFFCO
BJD,ICELAND,BAKKAFJORDUR
BJF,NORWAY,BATSFJORD
BJG,INDONESIA,BOLAANG
BJH,NEPAL,BAJHANG
BJI,UNITED STATES,BEMIDJI
BJJ,UNITED STATES,WAYNE COUNTY
BJK,INDONESIA,BENJINA
BJL,GAMBIA,YUNDUM INTERNATIONAL
BJM,BURUNDI,INTERNATIONAL
BJN,MOZAMBIQUE,BAJONE
BJO,BOLIVIA,BERMEJO
BJP,BRAZIL,BRAGANCA PAULISTA
BJR,ETHIOPIA,BAHAR DAR
BJT,SRI LANKA,BENTOTA RIVER
BJU,NEPAL,BAJURA ARPT
BJV,TURKEY,MILAS
BJW,INDONESIA,BAJAWA
BJX,MEXICO,DEL BAJIO INTERNATIONAL
BJY,SERBIA,BATAJNICA
BJZ,SPAIN,TALAVERAL LA REAL
BKA,RUSSIAN FEDERATION,BYKOVO
BKB,INDIA,BIKANER
BKC,UNITED STATES,BUCKLAND
BKD,UNITED STATES,STEPHENS COUNTY
BKE,UNITED STATES,BAKER
BKF,UNITED STATES,LAKE BROOKS SPB
BKH,UNITED STATES,BARKING SANDS PMRF
BKI,MALAYSIA,KOTA-KINABALU INTERNATIONAL AIRPORT
BKJ,GUINEA,BOKE
BKK,THAILAND,SUVARNABHUMI INTERNATIONAL
BKL,UNITED STATES,BURKE LAKEFRONT
BKM,MALAYSIA,BAKALALAN
BKN,NIGER,BIRNI NKONI
BKO,MALI,BAMAKO
BKP,AUSTRALIA,BARKLY DOWNS
BKQ,AUSTRALIA,BLACKALL
BKR,CHAD,BOKORO
BKS,INDONESIA,PADANGKEMILING
BKT,UNITED STATES,BLACKSTONE AAF
BKU,MADAGASCAR,BETIOKY
BKW,UNITED STATES,BECKLEY
BKX,UNITED STATES,BROOKINGS
BKY,CONGO (DEMOCRATIC REPUBLIC OF,KAVUMU
BKZ,TANZANIA,BUKOBA
BLA,VENEZUELA,GEN J A ANZOATEGUI
BLB,PANAMA,BALBOA
BLC,CAMEROON,BAMENDA
BLD,UNITED STATES,BOULDER CITY
BLE,SWEDEN,DALA AIRPORT
BLF,UNITED STATES,PRINCETON
BLG,MALAYSIA,BELAGA
BLH,UNITED STATES,BLYTHE
BLI,UNITED STATES,BELLINGHAM
BLJ,ALGERIA,BATNA
BLK,UNITED KINGDOM,BLACKPOOL AIRPORT
BLL,DENMARK,BILLUND
BLM,UNITED STATES,MONMOUTH EXECUTIVE AIRPORT
BLN,AUSTRALIA,BENALLA
BLO,ICELAND,BLONDUOS
BLP,PERU,BELLAVISTA
BLQ,ITALY,GUGLIELMO MARCONI
BLR,INDIA,BANGALORE INTERNATIONAL AIRPORT
BLS,AUSTRALIA,BOLLON
BLT,AUSTRALIA,BLACKWATER
BLU,UNITED STATES,BLUE CANYON
BLV,UNITED STATES,BELLEVILLE
BLW,UNITED STATES,BELLOWS FIELD
BLX,ITALY,BELLUNO
BLY,IRELAND,BELMULLET
BLZ,MALAWI,CHILEKA
BMA,SWEDEN,BROMMA
BMB,ZAIRE,BUMBA
BMC,UNITED STATES,BRIGHAM CITY
BMD,MADAGASCAR,BELO
BME,AUSTRALIA,BROOME
BMF,CENTRAL AFRICAN REPUBLIC,BAKOUMA
BMG,UNITED STATES,BLOOMINGTON
BMH,PAPUA NEW GUINEA,BOMAI
BMI,UNITED STATES,CENTRAL ILLINOIS REGIONAL AIRPORT AT BLO
BMJ,GUYANA,BARAMITA
BMK,GERMANY,BORKUM
BML,UNITED STATES,BERLIN MUNICIPAL AIRPORT
BMM,GABON,BITAM
BMN,IRAQ,BAMERNY
BMO,MYANMAR,BHAMO
BMP,AUSTRALIA,BRAMPTON ISLAND
BMQ,KENYA,BAMBURI
BMR,GERMANY,BALTRUM
BMS,BRAZIL,BRUMADO
BMT,UNITED STATES,BEAUMONT MUNI
BMU,INDONESIA,BIMA
BMV,VIET NAM,PHUNG-DUC
BMW,ALGERIA,BORDJ BADJI MOKHTAR
BMX,UNITED STATES,BIG MOUNTAIN
BMY,NEW CALEDONIA,BELEP ISLAND
BMZ,PAPUA NEW GUINEA,BAMU
BNA,UNITED STATES,NASHVILLE INTERNATIONAL
BNB,ZAIRE,BOENDE
BNC,ZAIRE,BENI
BND,IRAN,BANDAR ABBAS
BNE,AUSTRALIA,BRISBANE INTERNATIONAL
BNF,UNITED STATES,WARM SPRING BAY SPB
BNG,UNITED STATES,BANNING
BNH,UNITED STATES,BARNES
BNI,NIGERIA,BENIN CITY
BNK,AUSTRALIA,BALLINA BYRON GATEWAY
BNL,UNITED STATES,BARNWELL REGIONAL
BNM,PAPUA NEW GUINEA,BODINUMU
BNN,NORWAY,BRONNOY
BNO,UNITED STATES,BURNS
BNP,PAKISTAN,BANNU
BNQ,PHILIPPINES,BAGANGA
BNR,BURKINA FASO,BANFORA
BNS,VENEZUELA,BARINAS
BNT,PAPUA NEW GUINEA,BUNDI
BNU,BRAZIL,BLUMENAU
BNV,PAPUA NEW GUINEA,BOANA
BNW,UNITED STATES,BOONE
BNX,BOSNIA AND HERZEGOVINA,BANJA LUKA
BNY,SOLOMON ISLANDS,BELLONA
BNZ,PAPUA NEW GUINEA,BANZ
BOA,ZAIRE,BOMA
BOB,FRENCH POLYNESIA,MOTU-MUTE
BOC,PANAMA,BOCAS DEL TORO
BOD,FRANCE,MERIGNAC
BOE,CONGO,BOUNDJI
BOF,UNITED STATES,BOLLING AFB
BOG,COLOMBIA,ELDORADO INTERNATIONAL
BOH,UNITED KINGDOM,BOURNEMOUTH INTERNATIONAL
BOI,UNITED STATES,BOISE AIR TERMINAL/GOWEN FIELD
BOJ,BULGARIA,BOURGAS
BOK,UNITED STATES,BROOKINGS STATE
BOL,UNITED KINGDOM,BALLY KELLY
BOM,INDIA,CHHATRAPATI SHIVAJI INTERNATIONAL
BON,NETHERLANDS ANTILLES,FLAMINGO INTERNATIONAL
BOO,NORWAY,BODO
BOP,CENTRAL AFRICAN REPUBLIC,BOUAR
BOQ,PAPUA NEW GUINEA,BOKU
BOR,FRANCE,FONTAINE
BOS,UNITED STATES,LOGAN INTERNATIONAL
BOT,PAPUA NEW GUINEA,BOSET
BOU,FRANCE,BOURGES
BOV,PAPUA NEW GUINEA,BOANG
BOW,UNITED STATES,BARTOW
BOX,AUSTRALIA,BORROLOOLA
BOY,BURKINA FASO,BORGO
BOZ,CENTRAL AFRICAN REPUBLIC,BOZOUM
BPA,UNITED STATES,GRUMMAN
BPB,PAPUA NEW GUINEA,BORIDI
BPC,CAMEROON,BAMENDA
BPD,PAPUA NEW GUINEA,BAPI
BPE,MYANMAR,BAGAN
BPF,SOLOMON ISLANDS,BATUNA AERODROME
BPG,BRAZIL,BARRA DO GARCAS
BPH,PHILIPPINES,BISLIG
BPI,UNITED STATES,BIG PINEY-MARBLETON
BPK,PAPUA NEW GUINEA,BIANGABIP
BPN,INDONESIA,SEPINGAN
BPS,BRAZIL,PORTO SEGURO
BPT,UNITED STATES,JEFFERSON COUNTY
BPU,JAPAN,BEPPU
BPX,CHINA,BANGDA
BPY,MADAGASCAR,BESALAMPY
BQA,PHILIPPINES,BALER
BQB,AUSTRALIA,BUSSELLTON
BQE,GUINEA-BISSAU,BUBAQUE
BQH,UNITED KINGDOM,BIGGIN HILL
BQI,NAMIBIA,BAGANI
BQK,UNITED STATES,GLYNCO JETPORT
BQL,AUSTRALIA,BOULIA
BQN,PUERTO RICO,BORINQUEN
BQO,COTE D'IVOIRE (IVORY COAST),BOUNA
BQQ,BRAZIL,BARRA
BQS,RUSSIAN FEDERATION,BLAGOVESCHENSK
BQT,BELARUS,BREST
BQU,SAINT VINCENT AND THE GRENADIN,J.F. MITCHELL
BQV,UNITED STATES,BARTLETT SPB
BQW,AUSTRALIA,BALGO HILLS
BRA,BRAZIL,BARREIRAS
BRB,BRAZIL,BARREIRINHAS
BRC,ARGENTINA,INTERNATIONAL
BRD,UNITED STATES,BRAINERD LAKES REGIONAL
BRE,GERMANY,BREMEN
BRF,UNITED KINGDOM,BRADFORD
BRG,UNITED STATES,MUNICIPAL
BRH,PAPUA NEW GUINEA,BRAHMAN
BRI,ITALY,PALESE
BRJ,AUSTRALIA,BRIGHT
BRK,AUSTRALIA,BOURKE
BRL,UNITED STATES,BURLINGTON
BRM,VENEZUELA,BARQUISIMETO
BRN,SWITZERLAND,BELP
BRO,UNITED STATES,SOUTH PADRE IS. INTL
BRP,PAPUA NEW GUINEA,BIARU
BRQ,CZECH REPUBLIC,TURANY
BRR,UNITED KINGDOM,NORTH BAY
BRS,UNITED KINGDOM,BRISTOL
BRT,AUSTRALIA,BATHURST ISLAND
BRU,BELGIUM,BRUSSELS AIRPORT
BRV,GERMANY,BREMERHAVEN
BRW,UNITED STATES,WILEY POST/W.ROGERS M
BRX,DOMINICAN REPUBLIC,BARAHONA
BRY,UNITED STATES,SAMUELS FIELD
BRZ,COTE D'IVOIRE (IVORY COAST),BOROTOU
BSA,SOMALIA,BOSSASO
BSB,BRAZIL,PRESIDENTE JUSCELINO KUBITSCHEK
BSC,COLOMBIA,BAHIA SOLANO
BSD,CHINA,BAOSHAN
BSE,MALAYSIA,SEMATAN
BSF,UNITED STATES,BRADSHAW AAF
BSG,EQUATORIAL GUINEA,BATA
BSH,UNITED KINGDOM,BRIGHTON
BSI,UNITED STATES,BLAIRSVILLE
BSJ,AUSTRALIA,BAIRNSDALE
BSK,ALGERIA,BISKRA
BSL,SWITZERLAND,EUROAIRPORT BASEL MULHOUSE FREIBURG
BSM,IRAN,BISHE-KOLA
BSN,CENTRAL AFRICAN REPUBLIC,BOSSANGOA
BSO,PHILIPPINES,BASCO
BSP,PAPUA NEW GUINEA,BENSBACH
BSQ,UNITED STATES,BISBEE MUNICIPAL ARPT
BSR,IRAQ,INTERNATIONAL
BSS,BRAZIL,BALSAS
BST,AFGHANISTAN,BOST
BSU,ZAIRE,BASANKUSU
BSV,PAPUA NEW GUINEA,BESAKOA
BSW,UNITED STATES,BOSWELL BAY
BSX,MYANMAR,BASSEIN
BSY,SOMALIA,BARDERA
BSZ,UNITED STATES,BARTLETTS
BTA,CAMEROON,YAOUNDE
BTB,CONGO,BETOU
BTC,SRI LANKA,BATTICALOA
BTD,AUSTRALIA,BRUNETTE DOWNS
BTE,SIERRA LEONE,BONTHE
BTF,UNITED STATES,SALT LAKE SKYPARK
BTG,CENTRAL AFRICAN REPUBLIC,BATANGAFO
BTH,INDONESIA,HANG NADIM
BTI,UNITED STATES,BARTER ISLAND
BTJ,INDONESIA,SULTAN ISKANDARMUDA AIRPORT
BTK,RUSSIAN FEDERATION,BRATSK
BTL,UNITED STATES,WK KELLOGG REGIONAL
BTM,UNITED STATES,BERT MOONEY AIRPORT
BTN,UNITED STATES,BENNETTSVILLE
BTO,SURINAME,BOTOPASIE
BTP,UNITED STATES,BUTLER COUNTY - KENNY SCHOLTER FIELD
BTQ,RWANDA,BUTARE
BTR,UNITED STATES,RYAN
BTS,SLOVAKIA,M. R. +TEFANIKA
BTT,UNITED STATES,BETTLES
BTU,MALAYSIA,BINTULU
BTV,UNITED STATES,BURLINGTON INTERNATIONAL
BTW,INDONESIA,BATU LICIN
BTX,AUSTRALIA,BETOOTA
BTY,UNITED STATES,BEATTY
BTZ,TURKEY,BURSA AIRPORT
BUA,PAPUA NEW GUINEA,BUKA
BUB,UNITED STATES,MUNICIPAL
BUC,AUSTRALIA,BURKETOWN
BUD,HUNGARY,FERIHEGY
BUF,UNITED STATES,BUFFALO NIAGARA INTERNATIONAL
BUG,ANGOLA,GEN V DESLANDES
BUI,INDONESIA,BOKONDINI
BUJ,ALGERIA,AIN EDDIS
BUK,YEMEN,ALBUQ
BUL,PAPUA NEW GUINEA,BULOLO
BUM,UNITED STATES,BUTLER
BUN,COLOMBIA,BUENAVENTURA
BUO,SOMALIA,BURAO
BUP,INDIA,BHATINDA
BUQ,ZIMBABWE,BULAWAYO
BUR,UNITED STATES,BOB HOPE
BUS,GEORGIA,BATUM
BUT,UNITED KINGDOM,BURTONWOOD
BUU,COTE D'IVOIRE (IVORY COAST),BUYO
BUV,URUGUAY,BELLA UNION
BUW,INDONESIA,BAUBAU
BUX,ZAIRE,BUNIA
BUY,AUSTRALIA,BUNBURY
BUZ,IRAN,BUSHEHR
BVA,FRANCE,BEAUVAIS-TILLE
BVB,BRAZIL,BOA VISTA
BVC,CAPE VERDE,RABIL
BVD,UNITED STATES,SEA PORT
BVE,FRANCE,LAROCHE
BVF,FIJI,DAMA
BVG,NORWAY,BERLEVAG
BVH,BRAZIL,VILHENA
BVI,AUSTRALIA,BIRDSVILLE
BVK,BOLIVIA,HUACARAJE
BVL,BOLIVIA,BAURES
BVM,BRAZIL,BELMONTE
BVO,UNITED STATES,BARTLESVILLE
BVP,PAPUA NEW GUINEA,BOLOVIP
BVR,CAPE VERDE,ESPERADINHA
BVS,BRAZIL,BREVES
BVU,UNITED STATES,BELUGA
BVW,AUSTRALIA,BATAVIA DOWNS
BVX,UNITED STATES,MUNICIPAL
BVY,UNITED STATES,BEVERLY MUNICIPLE AIRPORT
BVZ,AUSTRALIA,BEVERLEY SPRINGS
BWA,NEPAL,BHAIRAWA
BWB,AUSTRALIA,BARROW ISLAND
BWC,UNITED STATES,BRAWLEY
BWD,UNITED STATES,BROWNWOOD
BWE,GERMANY,BRAUNSCHWEIG
BWF,UNITED KINGDOM,WALNEY ISLAND
BWG,UNITED STATES,WARREN COUNTY
BWH,MALAYSIA,BUTTERWORTH
BWI,UNITED STATES,BALTIMORE/WASHINGTON INTERNATIONAL THURG
BWJ,PAPUA NEW GUINEA,BAWAN
BWK,CROATIA (HRVATSKA),BOL
BWL,UNITED STATES,BLACKWELL
BWM,UNITED STATES,BOWMAN
BWN,BRUNEI DARUSSALAM,BANDAR SERI BEGWAN INTERNATIONAL AIRPORT
BWO,RUSSIAN FEDERATION,BALAKOVO
BWP,PAPUA NEW GUINEA,BEWANI
BWQ,AUSTRALIA,BREWARRINA
BWS,UNITED STATES,BLAINE
BWT,AUSTRALIA,BURNIE WYNYARD
BWU,AUSTRALIA,SYDNEY BANKSTOWN
BWY,UNITED KINGDOM,BENTWATERS ST
BXA,UNITED STATES,GEORGE R CARR
BXB,INDONESIA,BABO
BXC,UNITED STATES,BOXBOROUGH
BXD,INDONESIA,BADE
BXE,SENEGAL,BAKEL
BXF,AUSTRALIA,BELBURN
BXG,AUSTRALIA,BENDIGO
BXH,KAZAKHSTAN,BALHASH
BXI,COTE D'IVOIRE (IVORY COAST),BOUNDIALI
BXJ,KAZAKHSTAN,BURUNDAI
BXK,UNITED STATES,BUCKEYE MUNICIPAL
BXL,FIJI,BLUE LAGOON
BXM,INDONESIA,BATOM
BXN,TURKEY,IMSIK AIRPORT
BXO,GUINEA-BISSAU,BUOCHS
BXR,IRAN,BAM
BXS,UNITED STATES,BORREGO SPRINGS
BXT,INDONESIA,BONTANG
BXU,PHILIPPINES,BUTUAN
BXV,ICELAND,BREIDDALSVIK
BXX,SOMALIA,BORAMA INTERNATIONAL
BXZ,PAPUA NEW GUINEA,BUNSIL
BYA,UNITED STATES,BOUNDARY
BYB,OMAN,DIBAA
BYC,BOLIVIA,YACUIBA
BYD,YEMEN,BEIDAH
BYG,UNITED STATES,MUNICIPAL
BYH,UNITED STATES,BLYTHEVILLE AFB
BYI,UNITED STATES,RUPERT
BYK,COTE D'IVOIRE (IVORY COAST),BOUAKE
BYL,LIBERIA,BELLA YELLA
BYN,MONGOLIA,BAYANKHONGOR
BYO,BRAZIL,BONITO AIRPORT
BYQ,INDONESIA,BUNYU
BYR,DENMARK,LAESO AIRPORT
BYS,UNITED STATES,BICYCLE LAKE AAF
BYT,IRELAND,BANTRY
BYU,GERMANY,BINDLACHER-BERG
BYW,UNITED STATES,BLAKELY ISLAND
BYX,AUSTRALIA,BANIYALA
BZA,NICARAGUA,SAN PEDRO
BZB,MOZAMBIQUE,BAZARUTO ISLAND
BZC,BRAZIL,BUZIOS
BZD,AUSTRALIA,BALRANALD
BZE,BELIZE,PHILIP S.W.GOLDSON INT
BZG,POLAND,BYDGOSZCZ I. J. PADEREWSKI AIRPORT
BZH,ZIMBABWE,BUMI HILLS
BZI,TURKEY,BALIKESIR
BZK,RUSSIAN FEDERATION,BRIANSK
BZL,BANGLADESH,BARISAL
BZM,NETHERLANDS,WOENSDRECHT
BZN,UNITED STATES,GALLATIN FIELD
BZO,ITALY,BOLZANO
BZP,AUSTRALIA,BIZANT
BZR,FRANCE,BEZIERS VIAS
BZS,UNITED STATES,BUZZARDS PT S
BZT,UNITED STATES,HINKLES FERRY
BZU,ZAIRE,BUTA
BZV,CONGO,MAYA MAYA
BZY,MOLDOVA,BELTSY
BZZ,UNITED KINGDOM,RAF BRIZE NORTON
CAA,HONDURAS,CATACAMAS
CAB,ANGOLA,CABINDA
CAC,BRAZIL,CASCAVEL
CAD,UNITED STATES,CADILLAC
CAE,UNITED STATES,METROPOLITAN AIRPORT
CAF,BRAZIL,CARAUARI
CAG,ITALY,ELMAS
CAH,VIET NAM,CA MAU
CAI,EGYPT,CAIRO INTERNATIONAL
CAJ,VENEZUELA,CANAIMA
CAK,UNITED STATES,AKRON/CANTON REGIONAL
CAL,UNITED KINGDOM,MACHRIHANISH
CAM,BOLIVIA,CAMIRI
CAN,CHINA,NEW BAIYUN
CAO,UNITED STATES,CLAYTON
CAP,HAITI,CAP HAITIEN
CAQ,COLOMBIA,CAUCASIA
CAR,UNITED STATES,MUNICIPAL
CAS,MOROCCO,ANFA
CAT,BAHAMAS,NEW BIGHT
CAU,BRAZIL,CARUARU
CAV,ANGOLA,CAZOMBO
CAW,BRAZIL,BARTOLOMEU LISANDRO
CAX,UNITED KINGDOM,CARLISLE
CAY,FRENCH GUIANA,ROCHAMBEAU
CAZ,AUSTRALIA,COBAR
CBA,UNITED STATES,CORNER BAY
CBB,BOLIVIA,J WILSTERMAN
CBC,AUSTRALIA,CHERRABUN
CBD,INDIA,CAR NICOBAR
CBE,UNITED STATES,WILEY FORD
CBF,UNITED STATES,MUNICIPAL
CBG,UNITED KINGDOM,CAMBRIDGE
CBH,ALGERIA,LEGER
CBI,AUSTRALIA,CAPE BARREN ISLAND
CBJ,DOMINICAN REPUBLIC,CABO ROJO
CBK,UNITED STATES,MUNICIPAL
CBL,VENEZUELA,CIUDAD BOLIVAR
CBM,UNITED STATES,COLUMBUS AFB
CBN,INDONESIA,PENGGUNG
CBO,PHILIPPINES,AWANG
CBP,PORTUGAL,COIMBRA
CBQ,NIGERIA,CALABAR
CBR,AUSTRALIA,CANBERRA
CBS,VENEZUELA,ORO NEGRO
CBT,ANGOLA,CATUMBELA
CBU,GERMANY,COTTBUS
CBV,GUATEMALA,COBAN
CBW,BRAZIL,CAMPO MOURAO
CBX,AUSTRALIA,CONDOBOLIN
CBY,AUSTRALIA,CANOBIE
CBZ,UNITED STATES,CABIN CREEK
CCA,UNITED STATES,CHAFFEE AFB
CCB,UNITED STATES,CABLE AIRPORT
CCC,CUBA,CAYO COCO Y GUILLERMO
CCD,UNITED STATES,CENTURY CITY
CCE,GUADELOUPE,GRAND CASE
CCF,FRANCE,SALVAZA
CCG,UNITED STATES,CRANE COUNTY ARPT
CCH,CHILE,CHILE CHICO
CCI,BRAZIL,CONCORDIA
CCJ,INDIA,KOZHIKODE AIRPORT
CCK,COCOS (KEELING) ISLANDS,COCOS ISLANDS
CCL,AUSTRALIA,CHINCHILLA
CCM,BRAZIL,CRICIUMA
CCN,AFGHANISTAN,CHAKCHARAN
CCO,COLOMBIA,CARIMAGUA
CCP,CHILE,CARRIEL SUR
CCQ,BRAZIL,CACHOEIRA
CCR,UNITED STATES,BUCHANAN FLD
CCS,VENEZUELA,SIMON BOLIVAR INTERNATIONAL AIRPORT
CCT,ARGENTINA,COLONIA CATRIEL
CCU,INDIA,NETAJI SUBHAS CHANDRA
CCV,VANUATU,CRAIG COVE
CCW,AUSTRALIA,COWELL
CCX,BRAZIL,CACERES
CCY,UNITED STATES,MUNICIPAL
CCZ,BAHAMAS,CHUB CAY
CDA,AUSTRALIA,COOINDA
CDB,UNITED STATES,COLD BAY
CDC,UNITED STATES,CEDAR CITY
CDD,HONDURAS,CAUQUIRA
CDE,PANAMA,CALEDONIA
CDG,FRANCE,CHARLES DE GAULLE
CDH,UNITED STATES,HARRELL FLD
CDI,BRAZIL,CACHOEIRO ITAPEMIRIM
CDJ,BRAZIL,CONCEICAO DO ARAGUAIA
CDK,UNITED STATES,LEWIS
CDL,UNITED STATES,CANDLE
CDN,UNITED STATES,WOODWARD FLD
CDO,SOUTH AFRICA,CRADOCK
CDP,INDIA,CUDDAPAH
CDQ,AUSTRALIA,CROYDON
CDR,UNITED STATES,CHADRON
CDS,UNITED STATES,CHILDRESS
CDU,AUSTRALIA,CAMDEN
CDV,UNITED STATES,MUDHOLE SMITH
CDW,UNITED STATES,CALDWELL WRIGHT
CDY,PHILIPPINES,CAGAYAN DE SULU
CDZ,SPAIN,CADIZ
CEA,UNITED STATES,CESSNA AIRCRAFT FIELD
CEB,PHILIPPINES,MACTAN-CEBU INTERNATIONAL
CEC,UNITED STATES,MC NAMARA FLD
CED,AUSTRALIA,CEDUNA
CEE,RUSSIAN FEDERATION,CHEREPOVETS
CEF,UNITED STATES,WESTOVER METRO ARPT
CEG,UNITED KINGDOM,CHESTER
CEH,MALAWI,CHELINDA
CEI,THAILAND,CHIANG RAI
CEJ,UKRAINE,CHERNIGOV
CEK,RUSSIAN FEDERATION,CHELYABINSK
CEL,BAHAMAS,CAPE ELEUTHERA
CEM,UNITED STATES,CENTRAL
CEN,MEXICO,CIUDAD OBREGON
CEO,ANGOLA,WACO KUNGO
CEP,BOLIVIA,CONCEPCION
CEQ,FRANCE,MANDELIEU
CER,FRANCE,MAUPERTUS
CES,AUSTRALIA,CESSNOCK
CET,FRANCE,LE PONTREAU
CEU,UNITED STATES,OCONEE COUNTY
CEV,UNITED STATES,METTLE FIELD
CEW,UNITED STATES,BOB SIKES
CEX,UNITED STATES,CHENA HOT SPRINGS
CEY,UNITED STATES,CALLOWAY COUNTY
CEZ,UNITED STATES,MONTEZUMA COUNTY
CFA,UNITED STATES,COFFEE POINT
CFB,BRAZIL,CABO FRIO
CFC,BRAZIL,CACADOR
CFD,UNITED STATES,COULTER FIELD
CFE,FRANCE,AULNAT
CFF,ANGOLA,CAFUNFO
CFG,CUBA,CIENFUEGOS
CFH,AUSTRALIA,CLIFTON HILLS
CFI,AUSTRALIA,CAMFIELD
CFK,UNITED STATES,CHEFORNAK
CFN,IRELAND,DONEGAL
CFO,BRAZIL,CONFREZA
CFP,AUSTRALIA,CARPENTARIA DOWNS
CFQ,CANADA,CRESTON VALLEY AIRPORT
